consulta,plano,tentativa,tempo
inter_01,plano1,15,0.0213586000027135
inter_01,plano1,16,0.02141509996727109
inter_01,plano1,17,0.025148099986836314
inter_01,plano1,18,0.019933000032324344
inter_01,plano1,19,0.027677499980200082
inter_01,plano1,20,0.020771800016518682
inter_02,plano1,1,0.06476280000060797
inter_02,plano1,2,0.0458261999883689
inter_02,plano1,3,0.04655899998033419
inter_02,plano1,4,0.05146210000384599
inter_02,plano1,5,0.04779829998733476
inter_02,plano1,6,0.048000400012824684
inter_02,plano1,7,0.050400399952195585
inter_02,plano1,8,0.05000079999445006
inter_02,plano1,9,0.045167399977799505
inter_02,plano1,10,0.044491800013929605
inter_02,plano1,11,0.04754130000947043
inter_02,plano1,12,0.04793259996222332
inter_02,plano1,13,0.05151089996797964
inter_02,plano1,14,0.04809009999735281
inter_02,plano1,15,0.05291739996755496
inter_02,plano1,16,0.04991909995442256
inter_02,plano1,17,0.05011780001223087
inter_02,plano1,18,0.050203600025270134
inter_02,plano1,19,0.06564319995231926
inter_02,plano1,20,0.0486248999950476
inter_03,plano1,1,0.017673700000159442
inter_03,plano1,2,0.016903799958527088
inter_03,plano1,3,0.01777460001176223
inter_03,plano1,4,0.017035899974871427
inter_03,plano1,5,0.016777200042270124
inter_03,plano1,6,0.021068100002594292
inter_03,plano1,7,0.01630379998823628
inter_03,plano1,8,0.020591799984686077
inter_03,plano1,9,0.01667120005004108
inter_03,plano1,10,0.020615299989003688
inter_03,plano1,11,0.017086400010157377
inter_03,plano1,12,0.0162887999904342
inter_03,plano1,13,0.015722099982667714
inter_03,plano1,14,0.016693699988536537
inter_03,plano1,15,0.016114499943796545
inter_03,plano1,16,0.019485099997837096
inter_03,plano1,17,0.01620010001352057
inter_03,plano1,18,0.01639549998799339
inter_03,plano1,19,0.01943719998234883
inter_03,plano1,20,0.016572299995459616
inter_04,plano1,1,0.038404100050684065
inter_04,plano1,2,0.03397780004888773
inter_04,plano1,3,0.033640299981925637
inter_04,plano1,4,0.03211540001211688
inter_04,plano1,5,0.031757700024172664
inter_04,plano1,6,0.03368250001221895
inter_04,plano1,7,0.030408999999053776
inter_04,plano1,8,0.03631450003013015
inter_04,plano1,9,0.04047329997410998
inter_04,plano1,10,0.03562219999730587
inter_04,plano1,11,0.03364480001619086
inter_04,plano1,12,0.033954599988646805
inter_04,plano1,13,0.03215990000171587
inter_04,plano1,14,0.03293119999580085
inter_04,plano1,15,0.03047380002681166
